receiver on 8899
saved /Users/zsy/ski-game/qa/player-v3.png 16389 bytes
saved /Users/zsy/ski-game/qa/player-v4.png 15374 bytes
saved /Users/zsy/ski-game/qa/player-v4.png 13805 bytes
saved /Users/zsy/ski-game/qa/player-v5.png 10830 bytes
saved /Users/zsy/ski-game/qa/player-v5.png 19699 bytes
saved /Users/zsy/ski-game/qa/player-v6.png 1264 bytes
saved /Users/zsy/ski-game/qa/player-v6.png 12222 bytes
saved /Users/zsy/ski-game/qa/player-v7.png 14676 bytes
saved /Users/zsy/ski-game/qa/player-v8.png 11562 bytes
saved /Users/zsy/ski-game/qa/player-v8.png 69609 bytes
saved /Users/zsy/ski-game/qa/player-v8-close.png 60581 bytes
saved /Users/zsy/ski-game/qa/player-v9.png 66529 bytes
saved /Users/zsy/ski-game/qa/player-v10.png 63154 bytes
saved /Users/zsy/ski-game/qa/player-v11.png 70811 bytes
